Date,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,MARUTI.NS,RELIANCE.NS
2021-01-01,663.90576171875,2195.60400390625,1086.09716796875,7371.6318359375,897.047119140625
2021-01-04,659.689453125,2231.4228515625,1110.0517578125,7382.1748046875,898.5590209960938
2021-01-05,664.67431640625,2253.538818359375,1114.8341064453125,7337.27197265625,887.3883666992188
2021-01-06,661.8092651367188,2222.96240234375,1104.7525634765625,7311.53759765625,863.986083984375
2021-01-07,659.8059692382812,2178.407470703125,1087.562255859375,7251.58740234375,862.5869750976562
2021-01-08,666.9804077148438,2198.96044921875,1130.6026611328125,7681.7822265625,872.7647094726562
2021-01-11,676.2049560546875,2233.813720703125,1185.8360595703125,7890.57763671875,856.3131713867188
2021-01-12,689.9718017578125,2184.89013671875,1182.0015869140625,7847.73583984375,883.3035888671875
2021-01-13,685.1499633789062,2181.6259765625,1195.271484375,7801.53857421875,875.0665893554688
2021-01-14,684.2647094726562,2205.7197265625,1180.924560546875,7810.73974609375,884.9058837890625
2021-01-15,683.286376953125,2162.13037109375,1158.9088134765625,7691.22265625,874.457275390625
2021-01-18,690.9501342773438,2145.07177734375,1130.5595703125,7505.18994140625,895.4447631835938
2021-01-19,700.6172485351562,2173.16552734375,1134.5233154296875,7593.31787109375,910.0909423828125
2021-01-20,695.0965576171875,2166.54443359375,1154.16943359375,7806.42724609375,927.3773193359375
2021-01-21,687.0833740234375,2177.303955078125,1154.3848876953125,7741.0615234375,947.552490234375
2021-01-22,672.5245361328125,2215.6513671875,1155.3758544921875,7714.3212890625,925.0756225585938
2021-01-25,681.5159912109375,2206.685302734375,1141.8045654296875,7649.77001953125,876.0595703125
2021-01-27,656.7078857421875,2199.05224609375,1121.0380859375,7543.76708984375,855.2976684570312
2021-01-28,638.934326171875,2115.46044921875,1099.66845703125,7273.103515625,846.9703979492188
2021-01-29,647.8094482421875,2081.89453125,1067.6573486328125,6907.12451171875,831.3539428710938
2021-02-01,687.9917602539062,2067.824951171875,1086.4849853515625,7092.2470703125,855.43310546875
2021-02-02,727.0327758789062,2051.1337890625,1095.4034423828125,7336.55322265625,869.1991577148438
2021-02-03,733.671630859375,2053.34130859375,1106.949951171875,7273.77490234375,871.3881225585938
2021-02-04,735.6748046875,2065.066162109375,1102.3829345703125,7322.46435546875,868.5220336914062
2021-02-05,744.2936401367188,2087.090576171875,1096.1358642578125,7182.67626953125,868.2738037109375
2021-02-08,747.857666015625,2056.835205078125,1123.2354736328125,7259.7822265625,880.7760620117188
2021-02-09,750.9325561523438,2038.0758056640625,1124.9588623046875,7310.05224609375,882.8973388671875
2021-02-10,736.9094848632812,2055.77783203125,1117.16064453125,7304.92431640625,891.0892333984375
2021-02-11,732.5302124023438,2081.066650390625,1113.8433837890625,7348.67724609375,927.8287353515625
2021-02-12,737.0026245117188,2061.341552734375,1128.6209716796875,7253.935546875,921.4647827148438
2021-02-15,753.1455078125,2037.1099853515625,1128.4915771484375,7280.916015625,917.4027099609375
2021-02-16,757.8275756835938,2019.54541015625,1111.904541015625,7377.142578125,929.5438842773438
2021-02-17,739.1223754882812,1989.93408203125,1104.063232421875,7191.35009765625,940.2633056640625
2021-02-18,724.1209716796875,1974.2550048828125,1113.67041015625,7185.93408203125,933.2449340820312
2021-02-19,717.03955078125,2005.7518310546875,1112.679931640625,7018.638671875,938.9317626953125
2021-02-22,721.1858520507812,1993.336669921875,1090.190185546875,6791.92041015625,906.3447875976562
2021-02-23,712.404052734375,2004.050048828125,1091.18115234375,6680.78955078125,913.2728881835938
